epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.943,1.78552,2.34843,1.04684,0.27391,0.15361,0.11546,0.06479,1.66905,1.53812,0.98232,0.000237193,0.000237193,0.000237193
2,243.575,1.65413,1.53288,0.99841,0.33397,0.18661,0.1529,0.08837,1.58728,1.37724,0.96945,0.000465784,0.000465784,0.000465784
3,361.675,1.62293,1.42581,0.98937,0.35448,0.1902,0.16689,0.09544,1.52565,1.35568,0.97084,0.000684951,0.000684951,0.000684951
4,479.198,1.59832,1.36707,0.98244,0.34788,0.23622,0.1804,0.10223,1.56098,1.35607,0.96355,0.000671588,0.000671588,0.000671588
5,596.475,1.57931,1.31601,0.97392,0.26994,0.21699,0.1964,0.11481,1.52203,1.26596,0.95723,0.000657451,0.000657451,0.000657451
6,713.831,1.54592,1.26796,0.97149,0.32381,0.2329,0.22302,0.12885,1.49809,1.21206,0.95055,0.000643314,0.000643314,0.000643314
7,831.029,1.53467,1.2395,0.96308,0.32013,0.24484,0.22267,0.12937,1.47669,1.17866,0.95179,0.000629177,0.000629177,0.000629177
8,948.584,1.52504,1.21175,0.96036,0.32475,0.25668,0.23895,0.13738,1.4712,1.16852,0.94197,0.00061504,0.00061504,0.00061504
